depth,RPM,Flow,WOB,ROP,well
146.42,78.78,3.39366,5.28798,16.71,A
146.74,85.56,3.39983,5.96825,20.68,A
147.05,81.44,3.40218,7.10204,24.27,A
147.36,81.99,3.40528,5.56916,18.3,A
147.67,75.46,3.39597,7.75964,18.6,A
147.98,76.44,3.39983,6.78458,15.29,A
148.29,77.14,3.39828,4.61224,17.72,A
148.6,76.47,3.37117,5.72789,12.13,A
148.91,83.94,3.39366,7.00227,14.56,A
149.22,80.62,3.39597,6.92063,13.95,A
149.53,77.9,3.38745,6.26304,19.93,A
149.84,85.98,3.37424,6.92063,16.79,A
150.16,85.89,3.35872,4.88889,37.92,A
150.47,88.21,3.3471,1.64626,41.35,A
150.79,87.6,3.375,4.51247,12.80415812,A
151.1,93.58,3.35406,4.63039,12.80415812,A
151.41,89.52,3.37344,2.59864,12.80415812,A
151.74,95.11,3.35175,4.37188,12.80415812,A
152.08,93.37,3.14011,3.02041,12.80415812,A
152.38,93.37,3.14011,3.02041,12.80415812,A
152.4,94.04,3.34555,3.65533,12.80415812,A
152.71,101.3,3.04324,4.55329,12.80415812,A
153.02,100.08,3.33627,5.05215,12.80415812,A
153.33,89.1,3.20291,5.17007,46.52,A
153.65,76.74,3.22483,6.62585,28.44,A
153.97,72.71,3.22172,6.98413,18.6,A
154.28,65.76,3.21938,8.75283,23.26,A
154.59,90.77,3.22403,7.31973,11.82,A
154.9,84,3.22714,5.38776,27.76,A
155.21,85.19,3.22172,7.64172,24.81,A
155.53,84.25,3.2039,4.82993,19.63,A
155.84,82.38,3.20231,4.35374,25.37,A
156.15,60.48,3.23176,4.51247,21.06,A
156.47,86.87,3.21703,7.678,28.97,A
156.78,65.45,3.22789,4.03628,19.59,A
157.1,95.63,3.224,5.46939,21.47,A
157.41,90.62,3.23251,3.09751,27.76,A
157.73,94.19,3.21858,3.79592,34.48,A
158.04,94.99,3.11551,5.48753,21.87,A
158.36,85.34,3.22013,6.20408,21.87,A
158.67,95.11,3.20692,4.75283,39.85,A
158.98,76.19,3.21003,5.3288,23.26,A
159.29,87.88,3.22085,7.51927,33.11,A
159.61,87.57,3.20692,6.80272,44.57,A
159.93,97.7,3.20151,2.38095,7.63,A
160.24,92.54,3.20151,3.87302,33.84,A
160.55,92.06,3.21544,4.57143,23.72,A
160.87,91.29,3.20227,3.61451,24.83,A
161.18,94.34,3.20147,3.47846,36.7,A
161.49,91.14,3.20072,4.77098,18.62,A
161.8,89.01,3.20227,4.33107,17.74,A
162.11,95.47,3.21154,2.97959,21.48,A
162.43,74.36,3.37117,0.31746,36.7,A
162.74,64.75,3.38673,1.47392,35.55,A
163.06,67.98,3.4007,2.13152,36.68,A
163.37,59.32,3.41153,3.82313,36.02,A
163.69,79.76,3.42159,3.30612,36.7,A
164,72.99,3.42315,4.20408,36.7,A
164.31,76.07,3.41387,2.68934,37.38,A
164.62,74.79,3.41228,4.20408,36.02,A
164.93,67.92,3.41304,4.96145,37.18,A
165.25,50.56,3.42159,3.04762,18.06,A
165.57,86.96,3.42705,3.16553,36.7,A
165.88,85.92,3.43325,3.50567,37.22,A
166.18,88.06,3.4356,3.44671,36.02,A
166.5,78.2,3.41698,3.36508,36.7,A
166.81,73.78,3.43325,2.30839,37.22,A
167.13,55.17,3.44257,4.93878,31.6,A
167.44,90.5,3.46195,2.90703,30.18,A
167.75,82.23,3.47202,3.0068,37.22,A
168.06,79.3,3.47202,5.33787,36.7,A
168.38,80.86,3.48519,4.02268,28.63,A
168.68,90.1,3.47436,2.44898,23.76,A
169,83.76,3.45498,3.36508,36.7,A
169.32,88.76,3.46043,2.29025,36.7,A
169.63,88.06,3.49685,1.75057,37.22,A
169.94,87.51,3.49295,3.42404,36.7,A
170.25,90.81,2.88142,1.85034,36.7,A
170.56,94.5,3.45888,1.71429,37.23,A
170.88,82.54,3.50923,3.06576,36.7,A
171.19,81.8,3.29531,4.96145,36.02,A
171.5,83.06,3.16044,5.37868,36.7,A
171.81,24.57,3.03571,5.87755,33.46,A
172.12,75.18,3.05199,5.02041,31.02,A
172.43,85.89,3.18292,2.47166,36.02,A
172.74,80.34,3.15037,3.82313,35.53,A
173.05,77.56,3.11619,4.87982,34.89,A
173.36,69.66,3.10843,5.81406,34.48,A
173.69,87.85,3.12701,0.97506,29.72,A
174,85.34,3.07905,2.4898,36.03,A
174.32,81.68,3.26753,2.86621,35.55,A
174.62,87.02,3.25977,2.63039,37.22,A
174.93,78.36,3.26988,4.92063,36.02,A
175.25,74.76,3.26211,4.5805,33.46,A
175.56,67.53,3.29838,3.54649,37.38,A
175.88,80.4,3.26969,3.10658,34.47,A
176.19,79.55,3.29369,2.98866,37.92,A
176.5,71.28,3.29138,2.03175,37.22,A
176.82,88.55,3.29444,1.07483,36.7,A
177.14,78.27,3.27741,2.98866,36.7,A
177.45,78.78,3.28752,3.18821,36.02,A
177.76,72.8,3.28982,4.26304,36.7,A
178.07,72.29,3.29138,4.40363,36.02,A
178.38,72.53,3.29217,4.22222,34.89,A
178.69,75.28,3.28055,4.63946,35.55,A
179,74.97,3.03639,5.19728,36.02,A
179.31,70.12,3.29369,2.19048,21.9,A
179.63,87.85,3.28903,3.80499,30.26,A
179.95,82.42,3.30296,3.54649,39.23,A
180.27,84.15,3.28672,5.25624,42.14,A
180.58,85.68,3.28903,2.92971,32.85,A
180.89,82.48,3.28282,4.20408,36.7,A
181.21,70,3.27578,1.59637,43.76,A
181.52,96.27,3.34801,0.9161,37.23,A
181.83,63.19,3.35421,3.94558,36.02,A
182.15,90.32,3.3457,3.18821,36.7,A
182.46,113.2,3.35736,10.80726,38.5,A
182.77,85.13,3.36122,2.19048,35.55,A
183.09,96.14,3.36818,0.18141,36.42,A
183.4,77.17,3.36743,4.5805,36.02,A
183.71,92.85,3.35266,2.21315,36.02,A
184.02,97.52,3.34414,0.53968,37.22,A
184.33,64.81,3.3488,5.26077,19.95,A
184.64,71.49,3.34184,4.5034,35.55,A
184.96,90.38,3.34335,10.80726,33.11,A
185.27,84.98,3.33714,2.27211,32.84,A
185.59,93.83,3.28827,1.81406,36.7,A
185.9,99.13,3.29054,1.21542,36.7,A
186.21,85.53,3.29134,1.93197,37.22,A
186.52,73.66,3.29289,3.70522,34.48,A
186.84,77.93,3.29365,4.00454,36.7,A
187.15,81.01,3.27972,3.20635,23.71,A
187.46,76.4,3.27582,3.04762,31.02,A
187.78,87.75,3.27427,2.68934,34.48,A
188.1,80.1,3.27972,4.54422,31.6,A
188.41,86.96,3.2712,3.88662,23.27,A
188.72,75.73,3.25878,3.50567,27.75,A
189.04,104.57,3.25182,2.17234,10.64,A
189.88,59.35,3.128,10.80726,10.36,A
190.19,87.63,3.22865,4.04082,6.49,A
190.5,89.58,3.29615,4.31746,29.95,A
190.81,84.55,3.28297,3.68254,30.19,A
191.13,97.82,3.29384,2.06803,35.55,A
191.44,88.73,3.28687,3.80045,34.89,A
191.75,96.97,3.29384,3.18367,37.1,A
192.06,69.27,3.28683,4.69841,31.02,A
192.37,78.94,3.30311,2.76644,23.27,A
192.69,75.89,3.30156,3.94104,28.45,A
193,77.17,3.31087,3.42404,27.92,A
193.31,77.78,3.30701,4.61678,29.95,A
193.63,79.97,3.30625,4.04082,19.3,A
193.94,76.16,3.31477,3.42404,31.02,A
194.25,80.34,3.31011,2.00907,34.48,A
194.56,78.94,3.31011,3.75964,36.02,A
194.87,110.3,3.3078,10.80726,36.02,A
195.18,59.72,3.31477,1.23356,36.02,A
195.5,68.59,3.31246,3.32426,36.7,A
195.8,76.34,3.31556,4.48073,34.89,A
196.11,77.14,3.30394,3.88209,25.29,A
196.43,85.71,3.31477,2.66667,36.7,A
196.75,85.89,3.3117,1.85034,36.7,A
197.06,34.73,3.32798,3.40136,36.7,A
197.38,109.66,3.33339,2.24943,36.7,A
197.7,85.37,3.33574,2.36735,36.7,A
198,86.26,3.33574,2.32653,37.22,A
198.31,81.93,3.34271,3.06576,37.22,A
198.63,79.97,3.32953,4.04082,36.7,A
198.94,80.07,3.33419,3.40136,36.02,A
199.25,79.39,3.3396,3.62358,31.02,A
199.56,76.19,3.34115,3.28345,31.02,A
199.88,80.37,3.33419,3.88209,32.51,A
200.19,75.64,3.27196,3.26077,20.69,A
200.5,95.72,3.25568,3.75964,35.8,A
200.81,93.43,3.43185,4.59864,34.89,A
201.12,91.78,3.41565,3.94104,33.8,A
201.43,90.44,3.41876,1.55102,37.22,A
201.74,78.36,3.31787,4.2585,36.7,A
202.06,79.24,3.35266,2.48526,36.7,A
202.37,64.87,3.09681,4.39909,32.84,A
202.68,72.38,3.37117,4.21769,31.9,A
